feature,importance
svd_word_8,22
svd_char_8,20
nb_cvec_0,15
svd_word_18,13
svd_word_5,10
num_unique_words,9
svd_char_1,9
svd_char_19,9
svd_word_11,8
svd_char_11,8
svd_word_1,8
svd_word_17,7
nb_tfidf_char_0,7
svd_char_16,7
svd_char_0,7
svd_char_15,6
svd_word_3,6
svd_word_14,6
nb_cvec_1,6
svd_char_13,6
svd_word_12,5
svd_word_16,5
svd_word_13,5
svd_word_0,5
svd_char_10,4
svd_word_6,4
svd_char_2,4
svd_char_4,3
svd_char_12,3
svd_char_7,3
svd_word_9,3
svd_word_19,3
svd_char_18,3
nb_tfidf_word_0,3
svd_word_10,3
svd_char_14,3
svd_char_17,3
mean_word_len,3
svd_word_4,2
svd_word_15,2
nb_cvec_char_0,2
svd_char_6,2
num_words,2
svd_char_3,2
svd_word_2,1
svd_char_9,1
svd_word_7,1
num_words_title,1
